pelicula;date;duracio;director;genre;autor;medi;tendencia;actors
A 20 pasos de la fama;2013;87 min.;Morgan Neville;Documental;Javier Ocaña; Diario El País ;neutral;Documentary,Darlene Love,Merry Clayton,Lisa Fischer,Judith Hill,Mabel John,Claudia Lennear,Táta Vega,Lou Adler,Stevvi Alexander,Patti Austin,Chris Botti,Sheryl Crow,Mick Jagger,Bette Midler,Sting
A 20 pasos de la fama;2013;87 min.;Morgan Neville;Documental;Antonio Weinrichter; Diario ABC ;positiva;Documentary,Darlene Love,Merry Clayton,Lisa Fischer,Judith Hill,Mabel John,Claudia Lennear,Táta Vega,Lou Adler,Stevvi Alexander,Patti Austin,Chris Botti,Sheryl Crow,Mick Jagger,Bette Midler,Sting
A 20 pasos de la fama;2013;87 min.;Morgan Neville;Documental;Nuria Vidal; Fotogramas ;positiva;Documentary,Darlene Love,Merry Clayton,Lisa Fischer,Judith Hill,Mabel John,Claudia Lennear,Táta Vega,Lou Adler,Stevvi Alexander,Patti Austin,Chris Botti,Sheryl Crow,Mick Jagger,Bette Midler,Sting
A 20 pasos de la fama;2013;87 min.;Morgan Neville;Documental;Justin Lowe; The Hollywood Reporter ;positiva;Documentary,Darlene Love,Merry Clayton,Lisa Fischer,Judith Hill,Mabel John,Claudia Lennear,Táta Vega,Lou Adler,Stevvi Alexander,Patti Austin,Chris Botti,Sheryl Crow,Mick Jagger,Bette Midler,Sting
A 20 pasos de la fama;2013;87 min.;Morgan Neville;Documental;Michael Phillips; Chicago Tribune ;positiva;Documentary,Darlene Love,Merry Clayton,Lisa Fischer,Judith Hill,Mabel John,Claudia Lennear,Táta Vega,Lou Adler,Stevvi Alexander,Patti Austin,Chris Botti,Sheryl Crow,Mick Jagger,Bette Midler,Sting
A 20 pasos de la fama;2013;87 min.;Morgan Neville;Documental;Peter Debruge; Variety ;positiva;Documentary,Darlene Love,Merry Clayton,Lisa Fischer,Judith Hill,Mabel John,Claudia Lennear,Táta Vega,Lou Adler,Stevvi Alexander,Patti Austin,Chris Botti,Sheryl Crow,Mick Jagger,Bette Midler,Sting
A 20 pasos de la fama;2013;87 min.;Morgan Neville;Documental;Peter Travers; Rolling Stone ;positiva;Documentary,Darlene Love,Merry Clayton,Lisa Fischer,Judith Hill,Mabel John,Claudia Lennear,Táta Vega,Lou Adler,Stevvi Alexander,Patti Austin,Chris Botti,Sheryl Crow,Mick Jagger,Bette Midler,Sting
A 23 pasos de Baker Street;1956;103 min.;Henry Hathaway;Intriga;Fernando Morales; Diario El País ;positiva;Van Johnson,Vera Miles,Cecil Parker,Patricia Laffan,Maurice Denham,Estelle Winwood,Liam Redmond,Isobel Elsom,Martin Benson,Natalie Norwick
A 47 metros;2017;87 min.;Johannes Roberts;Thriller;Francisco Marinero; Diario El Mundo ;neutral;Mandy Moore,Claire Holt,Chris Johnson,Yani Gellman,Santiago Segura,Matthew Modine,Mayra Juarez,Axel Mansilla
